video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=3V6rjyL_63U&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - One Night/All Night (Starring Tame Impala) (Official Video),1M,2 weeks,Justice: Gaspard Augé and Xavier de Rosnay Follow Justice: Official website: https://justice.lnk.to/officialstoreyo Instagram: ...,2024-02-13 03:02:46.251857
/watch?v=HDyXJ61PCkE&pp=ygUHanVzdGljZQ%3D%3D,/@JudgeJudyFaN-ve7ul,Judge Judy FaN,"[New Episode] Judy Justice Season 3 🟢 Money, Mischief, and a One-Eyed Cat 🟢 Judy Justice 2024 HD",11K,14 hours,Judge_judy_Live #Judge_Judy_Full_Episode #Judge_Judy_Amazing_Cases #Judge_Judy_Full_Episode #Judge_judy_Live ...,2024-02-13 03:02:46.256979
/watch?v=_2TrVLRCdec&pp=ygUHanVzdGljZQ%3D%3D,/@JudgeJudyFanClub,Judge Judy Club,"[ NEW ] JUDY JUSTICE Season 3 | Money, Mischief, and a One-Eyed Cat | Judge Judy 2024 Full Episode",18K,15 hours,"Judge_Judy_Full_Episode #Judge_judy_Live #Judge_Judy_Amazing_Cases Judge Judy Live, Judge Judy 2024, Judge Judy ...",2024-02-13 03:02:46.263395
/watch?v=ZX83_kg_n5c&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - Generator (Official Audio),456K,2 weeks,Justice: Gaspard Augé and Xavier de Rosnay Mixing Engineer: Damien Quintard Follow Justice: Official website: ...,2024-02-13 03:02:54.368593
/watch?v=sy1dYFGkPUE&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - D.A.N.C.E. (Official Video),34M,13 years,Justice : Gaspard Augé and Xavier de Rosnay Official store → https://justice.lnk.to/officialstoreyo Follow Justice: Official website: ...,2024-02-13 03:02:54.371515
/watch?v=GiDsLRQg_g4&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - DVNO (Official Video),4.1M,13 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:02:54.374374
/watch?v=jb7cTUwPG-A&pp=ygUHanVzdGljZQ%3D%3D,/@AThousandPapercuts,AThousandPapercuts,Justice - Cross (Full Album),3.3M,7 years,1. Genesis 0:00 2. Let There Be Light 3:54 3. D.A.N.C.E. 8:49 4. Newjack 13:23 5. Phantom 17:00 6. Phantom Pt. 2 21:55 7.,2024-02-13 03:02:54.377062
/watch?v=VKzWLUQizz8&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - Genesis - † (Official Audio),21M,11 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:02:54.379995
/watch?v=Yt0kHiRsnHA&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice -  Cross (Full album),401K,1 year,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:02:54.385381
/watch?v=QWaWsgBbFsA&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - Stress (Official Video),8.1M,10 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:02:54.388616
/watch?v=0qXmxVySMzw&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - Stress - † (Official Audio),4.2M,11 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:02:54.391660
/watch?v=tCnBrrnOefs&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - D.A.N.C.E. - † (Official Audio),33M,11 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:02:54.394581
/watch?v=SVq2yMuAMVQ&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - Civilization (Official Video),8.6M,12 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:02:54.397795
/watch?v=l8NHebm4nTY&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - Heavy Metal (Official Music Video),2.7M,5 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:02:54.402291
/watch?v=tkaEpUBUQDw&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - Fire (Official Video),4.3M,7 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:02:54.406621
/watch?v=6MucREx-e4Q&pp=ygUHanVzdGljZQ%3D%3D,/@superinjoke,superinjoke,"Justice - IRIS: A Space Opera - Live At Accorhotels Arena, Paris",1.1M,3 years,2017 @Justice.,2024-02-13 03:02:54.409479
/watch?v=W-FtiDeHxug&pp=ygUHanVzdGljZQ%3D%3D,/@DaftPunkxJustice,Daft Punk x Justice,Justice: Woman Worldwide,68K,1 year,This is a new version of the original WWW video edited by Daft Punk x Justice in 2019. This version contains the album remaster ...,2024-02-13 03:02:54.412139
/watch?v=DLD904aE1LQ&pp=ygUHanVzdGljZQ%3D%3D,/@daviddeanburkhart,David Dean Burkhart,Justice x Tame Impala - One Night/All Night,40K,2 weeks,Lyrics Woman 'Cause if that's the only answer Then we could be together 'Cause I wanna feel the pressure And I could be your ...,2024-02-13 03:02:54.415126
/watch?v=xc6lmT_kGIA&pp=ygUHanVzdGljZQ%3D%3D,/@THE-BREAK,THE  BREAK,BREAKING NEWS: 2 mins ago MOST PROLIFIC JUSTICE OF THE SUPREME COURT ANNOUNCES TRUMP PERMANENT BAN,1.5K,3 hours,Legal analysts Dahlia Lithwick and Mark Joseph Stern have criticized Justice Samuel Alito's veiled threat to Colorado attorney ...,2024-02-13 03:03:05.151600
/watch?v=mPymRFeTJa4&pp=ygUHanVzdGljZQ%3D%3D,/@steezyasfvck,STEEZYASFUCK,Justice Der - Covers [Full Album],19M,4 years,Tracklist: 0:00 - B*tch Don't Kill My Vibe 3:56 - Thinking About You 9:09 - Passionfruit 14:40 - New Light 21:06 - Violet 26:36 - Riot ...,2024-02-13 03:03:05.157104
/watch?v=zpPDmYf21RU&pp=ygUHanVzdGljZQ%3D%3D,/@TheJewishChronicle,The Jewish Chronicle,Douglas Murray: If social justice warriors got what they want Israel wouldn't exist,4.8K,8 hours,Donate to Technion here: https://technionuk.org/donation/ The world's oldest and most influential Jewish newspaper. Since 1841.,2024-02-13 03:03:05.165088
/watch?v=uw7yrIgypoc&pp=ygUHanVzdGljZQ%3D%3D,/@Vex-VR-,Vex VR,Pebble Justice #4 I Penguin Paradise VR,128,4 hours,"(Description)--- Another Penguin Paradise pebble justice video! Sorry for not uploading recently, took forever to find any reactions ...",2024-02-13 03:03:05.175542
/watch?v=1Jpl6qA499Q&pp=ygUHanVzdGljZQ%3D%3D,/@justiceclub15,Justice Club,Justice live at Ultra Music Festival 2017,798K,5 years,This is not the entire set. Sadly (2017 / UMF ©),2024-02-13 03:03:05.178247
/watch?v=AndmdnoMoPc&pp=ygUHanVzdGljZQ%3D%3D,/channel/UC6CunA9hH9h-AGtr-TOTntg,Shaneil Muir,Shaneil Muir - Justice (Official Music Video),3.7M,1 year,"ShaneilMuir #Justice ""Justice"" official music video performed by Shaneil Muir Produced by #BigZimRecords ℗© 2022 Purchase ...",2024-02-13 03:03:05.181581
/watch?v=kYEYMnegehk&pp=ygUHanVzdGljZQ%3D%3D,/@MentourLawyerJustice1,Mentour Lawyer Justice Network,Donna's Case Management Conference LIVE,9.2K,Streamed 7 hours,"Updated Video Here https://youtu.be/G3-YsQEPGyY?si=n37K0FPhQadoqY64 Last time, Judge Everett told Donna Adelson she ...",2024-02-13 03:03:05.186891
/watch?v=ai-1V_1rROs&pp=ygUHanVzdGljZQ%3D%3D,/@DEHDASHT,DEHDASHT,"""Finding Solace: The Bittersweet Tale of Heartbreak, Justice, and Escaping Reality""😔",25K,18 hours,"Welcome to our channel In this gripping video, we take you on an emotional journey through ""Finding Peace: A Bittersweet Story ...",2024-02-13 03:03:05.194918
/watch?v=Le4PgUIFGAM&pp=ygUHanVzdGljZQ%3D%3D,/@UndertaleYellowOfficial,Undertale Yellow,Undertale Yellow OST: 010 - Justice,107K,2 months,Arrangement: MyNewSoundtrack Composer: MasterSwordRemix Download Undertale Yellow game and OST here!,2024-02-13 03:03:05.198805
/watch?v=kBdfcR-8hEY&pp=ygUHanVzdGljZQ%3D%3D,/@harvard,Harvard University,"Justice: What's The Right Thing To Do? Episode 01 ""THE MORAL SIDE OF MURDER""",37M,14 years,PART ONE: THE MORAL SIDE OF MURDER If you had to choose between (1) killing one person to save the lives of five others ...,2024-02-13 03:03:05.202495
/watch?v=uXj8FM7lTrw&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - Safe and Sound (Official Audio),5.9M,7 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:03:05.206128
/watch?v=dXokkMPhRrY&pp=ygUHanVzdGljZQ%3D%3D,/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice,Justice - Phantom Pt. II (Official Video),2.9M,13 years,Justice : Gaspard Augé and Xavier de Rosnay Official website → https://justice.church Follow Justice: Facebook: ...,2024-02-13 03:03:05.213041
/watch?v=0O2Rq4HJBxw&pp=ygUHanVzdGljZQ%3D%3D,/@harvard,Harvard University,"Justice: What's The Right Thing To Do? Episode 02: ""PUTTING A PRICE TAG ON LIFE""",5.2M,14 years,"PART ONE: PUTTING A PRICE TAG ON LIFE Today, companies and governments often use Jeremy Benthams utilitarian logic ...",2024-02-13 03:03:05.217015
/watch?v=pH5KeuYww6E&pp=ygUHanVzdGljZQ%3D%3D,/@JusticeCourtTV,Justice CourtTV,DID SHE EMBEZZLE HER HUSBAND'S BUSINESS? || Justice Court EP 184,61K,3 days,SUBSCRIBE TO THIS CHANNEL✨ by clicking the subscribe button. Click on the BELL ICON as well so you can get notification ...,2024-02-13 03:03:05.219864
/watch?v=nH2bWZuGeV4&pp=ygUHanVzdGljZQ%3D%3D,/@rbcsportsful,rbcsportsful,Justice S01E04 Legendado,206K,10 years,Tutorial de como ativar legendas ocultas: http://www.youtube.com/watch?v=hmoitTAz1FM Legendas retiradas de: ...,2024-02-13 03:03:05.222625
/watch?v=H0CTHVCkm90&pp=ygUHanVzdGljZQ%3D%3D,/@crashcourse,CrashCourse,What Is Justice?: Crash Course Philosophy #40,1.7M,7 years,"In today's episode, Hank asks you to consider all the ways people talk about justice and what we really mean when we use that ...",2024-02-13 03:03:05.226757
